Ano;Região;UF;Código do Município;Nome do Município;Localização;Total Abandono Ens. Fundamental;Total Abandono no Ens. Médio
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Total;0;--
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Total;0.7;2.2
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Urbana;0.3;2.2
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Urbana;0.3;2.2
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Urbana;0;--
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Urbana;0.7;2.2
2014;Sudeste;SP;3551405;SERRA AZUL;Total;1.4;5.5
2014;Sudeste;SP;3551405;SERRA AZUL;Total;1.4;5.5
2014;Sudeste;SP;3551405;SERRA AZUL;Total;0.9;--
2014;Sudeste;SP;3551405;SERRA AZUL;Total;2.4;5.5
2014;Sudeste;SP;3551405;SERRA AZUL;Rural;0;--
2014;Sudeste;SP;3551405;SERRA AZUL;Rural;0;--
2014;Sudeste;SP;3551405;SERRA AZUL;Rural;0;--
2014;Sudeste;SP;3551405;SERRA AZUL;Urbana;1.5;5.5
2014;Sudeste;SP;3551405;SERRA AZUL;Urbana;1.5;5.5
2014;Sudeste;SP;3551405;SERRA AZUL;Urbana;0.9;--
2014;Sudeste;SP;3551405;SERRA AZUL;Urbana;2.4;5.5
2014;Sudeste;SP;3551504;SERRANA;Total;0.9;8.7
2014;Sudeste;SP;3551504;SERRANA;Total;1;9.8
2014;Sudeste;SP;3551504;SERRANA;Total;0;0
2014;Sudeste;SP;3551504;SERRANA;Total;0.2;--
2014;Sudeste;SP;3551504;SERRANA;Total;3.4;9.8
2014;Sudeste;SP;3551504;SERRANA;Urbana;0.9;8.7
2014;Sudeste;SP;3551504;SERRANA;Urbana;1;9.8
2014;Sudeste;SP;3551504;SERRANA;Urbana;0;0
2014;Sudeste;SP;3551504;SERRANA;Urbana;0.2;--
2014;Sudeste;SP;3551504;SERRANA;Urbana;3.4;9.8
2014;Sudeste;SP;3551603;SERRA NEGRA;Total;0.7;6.4
2014;Sudeste;SP;3551603;SERRA NEGRA;Total;0.7;7.5
2014;Sudeste;SP;3551603;SERRA NEGRA;Total;0;0
2014;Sudeste;SP;3551603;SERRA NEGRA;Total;1.1;--
2014;Sudeste;SP;3551603;SERRA NEGRA;Total;0.7;7.5
2014;Sudeste;SP;3551603;SERRA NEGRA;Rural;0;0
2014;Sudeste;SP;3551603;SERRA NEGRA;Rural;0;0
2014;Sudeste;SP;3551603;SERRA NEGRA;Rural;0;--
2014;Sudeste;SP;3551603;SERRA NEGRA;Rural;0;0
2014;Sudeste;SP;3551603;SERRA NEGRA;Urbana;0.7;7.1
2014;Sudeste;SP;3551603;SERRA NEGRA;Urbana;0.9;8.3
2014;Sudeste;SP;3551603;SERRA NEGRA;Urbana;0;0
2014;Sudeste;SP;3551603;SERRA NEGRA;Urbana;1.2;--
2014;Sudeste;SP;3551603;SERRA NEGRA;Urbana;0.8;8.3
2014;Sudeste;SP;3551702;SERTAOZINHO;Total;0.2;1.6
2014;Sudeste;SP;3551702;SERTAOZINHO;Total;0.2;1.8
2014;Sudeste;SP;3551702;SERTAOZINHO;Total;0;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Total;0.2;--
2014;Sudeste;SP;3551702;SERTAOZINHO;Total;--;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Total;0.4;1.9
2014;Sudeste;SP;3551702;SERTAOZINHO;Rural;0;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Rural;0;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Rural;0;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Urbana;0.2;1.6
2014;Sudeste;SP;3551702;SERTAOZINHO;Urbana;0.2;1.8
2014;Sudeste;SP;3551702;SERTAOZINHO;Urbana;0;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Urbana;0.2;--
2014;Sudeste;SP;3551702;SERTAOZINHO;Urbana;--;0
2014;Sudeste;SP;3551702;SERTAOZINHO;Urbana;0.4;2
2014;Sudeste;SP;3551801;SETE BARRAS;Total;0.6;3.1
2014;Sudeste;SP;3551801;SETE BARRAS;Total;0.6;3.1
2014;Sudeste;SP;3551801;SETE BARRAS;Total;0;--
2014;Sudeste;SP;3551801;SETE BARRAS;Total;1.7;3.1
2014;Sudeste;SP;3551801;SETE BARRAS;Rural;0;0
2014;Sudeste;SP;3551801;SETE BARRAS;Rural;0;0
2014;Sudeste;SP;3551801;SETE BARRAS;Rural;0;--
2014;Sudeste;SP;3551801;SETE BARRAS;Rural;0;0
2014;Sudeste;SP;3551801;SETE BARRAS;Urbana;1;3.1
2014;Sudeste;SP;3551801;SETE BARRAS;Urbana;1;3.1
2014;Sudeste;SP;3551801;SETE BARRAS;Urbana;0;--
2014;Sudeste;SP;3551801;SETE BARRAS;Urbana;2;3.1
2014;Sudeste;SP;3551900;SEVERINIA;Total;0;1.1
2014;Sudeste;SP;3551900;SEVERINIA;Total;0;1.1
