Ano;Região;UF;Código do Município;Nome do Município;Localização;Total.2;Total  .2
2021;Norte;RO;1100288;Rolim de Moura;Urbana;0;0
2021;Norte;RO;1100288;Rolim de Moura;Total;0.1;1.9
2021;Norte;RO;1100288;Rolim de Moura;Urbana;0.1;1.9
2021;Norte;RO;1100288;Rolim de Moura;Rural;0;--
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;0;0
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;0;0
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;0;0
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;0;0
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;0;--
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;0;--
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;0;0
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;0;0
2021;Norte;RO;1100304;Vilhena;Total;0.4;5.7
2021;Norte;RO;1100304;Vilhena;Urbana;0.3;5.7
2021;Norte;RO;1100304;Vilhena;Rural;0.2;0
2021;Norte;RO;1100304;Vilhena;Total;--;0
2021;Norte;RO;1100304;Vilhena;Urbana;--;0
2021;Norte;RO;1100304;Vilhena;Total;1;7.2
2021;Norte;RO;1100304;Vilhena;Urbana;0.9;7.2
2021;Norte;RO;1100304;Vilhena;Rural;2.5;0
2021;Norte;RO;1100304;Vilhena;Total;0;--
2021;Norte;RO;1100304;Vilhena;Urbana;0;--
2021;Norte;RO;1100304;Vilhena;Rural;0;--
2021;Norte;RO;1100304;Vilhena;Total;0;0
2021;Norte;RO;1100304;Vilhena;Urbana;0;0
2021;Norte;RO;1100304;Vilhena;Total;0.4;6.2
2021;Norte;RO;1100304;Vilhena;Urbana;0.4;6.2
2021;Norte;RO;1100304;Vilhena;Rural;0.2;0
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;0.1;0.7
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;0.1;0.7
2021;Norte;RO;1100320;São Miguel do Guaporé;Rural;0;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;0;0.7
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;0;0.7
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;0.2;--
