Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2010,Total_abandono_EM2010
2010,Norte,RO,1100452,BURITIS,Total,1.2,12.3
2010,Norte,RO,1100452,BURITIS,Total,1.1,12.3
2010,Norte,RO,1100452,BURITIS,Urbana,1.9,12.3
2010,Norte,RO,1100452,BURITIS,Urbana,0.6,--
2010,Norte,RO,1100452,BURITIS,Urbana,0,--
2010,Norte,RO,1100452,BURITIS,Urbana,0.7,12.3
2010,Norte,RO,1100452,BURITIS,Urbana,0.8,12.3
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Rural,--,--
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Rural,--,5.1
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Rural,--,--
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Rural,--,5.1
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Total,0,16.3
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Total,0,--
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Total,--,5.1
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Total,0,16.3
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Total,0,14.9
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Urbana,0,16.3
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Urbana,0,--
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Urbana,0,16.3
2010,Norte,RO,1100502,NOVO HORIZONTE DO OESTE,Urbana,0,16.3
2010,Norte,RO,1100601,CACAULANDIA,Rural,0,--
2010,Norte,RO,1100601,CACAULANDIA,Rural,0,--
2010,Norte,RO,1100601,CACAULANDIA,Rural,0,--
2010,Norte,RO,1100601,CACAULANDIA,Total,--,5.2
2010,Norte,RO,1100601,CACAULANDIA,Total,0,--
2010,Norte,RO,1100601,CACAULANDIA,Total,0,5.2
2010,Norte,RO,1100601,CACAULANDIA,Total,0,5.2
2010,Norte,RO,1100601,CACAULANDIA,Urbana,--,5.2
2010,Norte,RO,1100601,CACAULANDIA,Urbana,0,--
2010,Norte,RO,1100601,CACAULANDIA,Urbana,0,5.2
2010,Norte,RO,1100601,CACAULANDIA,Urbana,0,5.2
2010,Norte,RO,1100700,CAMPO NOVO DE RONDONIA,Rural,--,9.6
2010,Norte,RO,1100700,CAMPO NOVO DE RONDONIA,Rural,1.9,--
2010,Norte,RO,1100700,CAMPO NOVO DE RONDONIA,Rural,1.9,9.6
